h | D_1(h) | error(D_1) | D_2(h) | error(D_2)
10^{-1} | 1.57651967756591183e+00 | 1.52524671627013952e+00 | 1.52482280786945168e+00 | 1.57694358596659967e+00
10^{-1.5} | 1.55346588308740285e+00 | 1.54830051074864850e+00 | 1.54829627166787631e+00 | 1.55347012216817504e+00
10^{-2} | 1.55114165625582778e+00 | 1.55062473758022357e+00 | 1.55062469518942048e+00 | 1.55114169864663087e+00
10^{-2.5} | 1.55090904475936586e+00 | 1.55085734907668549e+00 | 1.55085734865278946e+00 | 1.55090904518326189e+00
10^{-3} | 1.55088578172124514e+00 | 1.55088061211480621e+00 | 1.55088061211057715e+00 | 1.55088578172547420e+00
10^{-3.5} | 1.55088345539837058e+00 | 1.55088293843768077e+00 | 1.55088293843747094e+00 | 1.55088345539858041e+00
10^{-4} | 1.55088322276730750e+00 | 1.55088317106874385e+00 | 1.55088317106997131e+00 | 1.55088322276608004e+00
10^{-4.5} | 1.55088319950284714e+00 | 1.55088319433320421e+00 | 1.55088319433321975e+00 | 1.55088319950283160e+00
10^{-5} | 1.55088319716556433e+00 | 1.55088319667048702e+00 | 1.55088319665954488e+00 | 1.55088319717650647e+00
10^{-5.5} | 1.55088319695398225e+00 | 1.55088319688206910e+00 | 1.55088319689217635e+00 | 1.55088319694387500e+00
10^{-6} | 1.55088319730989355e+00 | 1.55088319652615780e+00 | 1.55088319691544085e+00 | 1.55088319692061050e+00
10^{-6.5} | 1.55088319702419897e+00 | 1.55088319681185238e+00 | 1.55088319691776610e+00 | 1.55088319691828525e+00
10^{-7} | 1.55088319409024677e+00 | 1.55088319974580457e+00 | 1.55088319691800036e+00 | 1.55088319691805099e+00
10^{-7.5} | 1.55088319491769888e+00 | 1.55088319891835247e+00 | 1.55088319691802234e+00 | 1.55088319691802901e+00
10^{-8} | 1.55088321074359214e+00 | 1.55088318309245921e+00 | 1.55088319691802456e+00 | 1.55088319691802679e+00
10^{-8.5} | 1.55088315980936398e+00 | 1.55088323402668737e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-9} | 1.55088319964136190e+00 | 1.55088319419468945e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-9.5} | 1.55088259807600903e+00 | 1.55088379576004232e+00 | 1.55088319691802479e+00 | 1.55088319691802656e+00
10^{-10} | 1.55088497599820130e+00 | 1.55088141783785005e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-10.5} | 1.55088259807600903e+00 | 1.55088379576004232e+00 | 1.55088319691802523e+00 | 1.55088319691802612e+00
10^{-11} | 1.55089274755937367e+00 | 1.55087364627667768e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-11.5} | 1.55084046807438614e+00 | 1.55092592576166521e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-12} | 1.55075952079641866e+00 | 1.55100687303963269e+00 | 1.55088319691802523e+00 | 1.55088319691802612e+00
10^{-12.5} | 1.54968189302975579e+00 | 1.55208450080629556e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-13} | 1.55209178842596884e+00 | 1.54967460541008251e+00 | 1.55088319691802523e+00 | 1.55088319691802612e+00
10^{-13.5} | 1.55529922657947850e+00 | 1.54646716725657285e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-14} | 1.55431223447521916e+00 | 1.54745415936083219e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-14.5} | 1.47455005680221429e+00 | 1.62721633703383706e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-15} | 1.55431223447521893e+00 | 1.54745415936083242e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-15.5} | 1.40433338743068048e+00 | 1.69743300640537087e+00 | 1.55088319691802501e+00 | 1.55088319691802634e+00
10^{-16} | 1.11022302462515654e+00 | 1.99154336921089481e+00 | 1.55088319691802479e+00 | 1.55088319691802656e+00
